DATE,輸入牛肉（冷蔵ロース）,国産牛肉（冷蔵ロース）,豚肉（ロース）,鶏肉（もも肉）,鶏卵 サイズ混合・10個入り）
2012-05-01,345,740,270,136,223
2012-06-01,338,743,269,134,218
2012-07-01,340,728,269,134,218
2012-08-01,341,723,268,135,221
2012-09-01,338,716,266,135,221
2012-10-01,338,721,267,134,216
2012-11-01,326,709,268,134,213
2012-12-01,328,710,267,134,210
2013-01-01,326,704,264,134,210
2013-02-01,336,696,265,132,221
2013-03-01,321,681,264,131,218
2013-04-01,318,686,265,131,217
2013-05-01,322,689,265,131,209
2013-06-01,317,702,266,130,203
2013-07-01,320,687,265,131,207
2013-08-01,311,683,260,130,209
2013-09-01,315,693,258,130,212
2013-10-01,318,691,250,129,219
2013-11-01,308,672,244,126,215
2013-12-01,304,673,243,126,216
2014-01-01,297,682,243,126,214
2014-02-01,301,670,241,124,224
2014-03-01,298,653,241,122,206
2014-04-01,297,649,241,120,201
2014-05-01,305,652,241,120,195
2014-06-01,289,652,241,118,185
2014-07-01,288,637,240,120,182
2014-08-01,287,637,239,120,183
2014-09-01,274,624,237,120,184
2014-10-01,284,625,240,121,186
2014-11-01,278,626,239,122,191
2014-12-01,284,633,240,122,191
2015-01-01,288,641,240,123,198
2015-02-01,298,633,240,122,199
2015-03-01,287,630,240,122,190
2015-04-01,287,634,241,121,188
2015-05-01,285,637,242,123,183
2015-06-01,291,633,241,120,181
2015-07-01,292,643,242,124,181
2015-08-01,292,652,243,124,182
2015-09-01,295,640,243,124,186
2015-10-01,285,683,258,130,239
2015-11-01,300,702,260,131,239
2015-12-01,305,743,261,132,239
2016-01-01,302,776,263,131,225
2016-02-01,304,792,265,131,224
2016-03-01,303,773,262,129,227
2016-04-01,303,775,261,130,227
2016-05-01,306,779,258,126,227
2016-06-01,303,795,263,127,223
2016-07-01,305,799,262,126,220
2016-08-01,306,798,266,128,219
2016-09-01,298,798,264,128,221
2016-10-01,296,788,262,127,226
2016-11-01,300,785,259,127,228
2016-12-01,305,796,261,129,235
2017-01-01,303,806,262,128,222
2017-02-01,303,783,265,130,223
2017-03-01,304,800,263,127,226
2017-04-01,299,799,262,130,226
2017-05-01,302,802,262,128,229
2017-06-01,298,797,263,129,224
2017-07-01,308,785,262,128,223
2017-08-01,303,796,264,130,222
2017-09-01,298,784,265,129,224
2017-10-01,299,801,264,128,228
2017-11-01,299,791,265,129,231
2017-12-01,294,805,264,130,233
2018-01-01,297,812,264,130,221
2018-02-01,292,794,264,131,217
2018-03-01,303,797,261,130,223
2018-04-01,298,788,261,127,221
2018-05-01,299,789,260,129,217
2018-06-01,306,787,262,126,214
2018-07-01,296,786,262,126,216
2018-08-01,298,802,267,125,220
2018-09-01,296,807,265,127,224
2018-10-01,299,778,266,126,226
2018-11-01,300,802,263,127,226
2018-12-01,298,789,264,127,225
2019-01-01,302,805,264,129,221
2019-02-01,296,802,262,126,208
2019-03-01,301,794,260,127,211
2019-04-01,299,814,259,126,211
2019-05-01,296,822,261,126,215
2019-06-01,290,827,261,125,213
2019-07-01,295,814,260,124,205
2019-08-01,289,809,262,122,204
2019-09-01,293,821,265,123,207
2019-10-01,291,819,265,126,212
2019-11-01,298,793,264,126,214
2019-12-01,285,798,260,125,214
2020-01-01,290,830,262,126,212
2020-02-01,284,809,259,126,210
2020-03-01,282,819,260,127,211
2020-04-01,288,812,260,124,210
2020-05-01,288,817,261,124,206
2020-06-01,292,822,263,126,206
2020-07-01,297,817,260,125,204
2020-08-01,292,806,265,126,205
2020-09-01,286,818,262,125,204
2020-10-01,287,825,263,126,205
2020-11-01,280,814,262,126,206
2020-12-01,286,833,260,128,206
2021-01-01,285,827,263,129,204
2021-02-01,280,812,261,130,203
2021-03-01,277,808,262,128,208
2021-04-01,281,824,262,128,213
2021-05-01,278,837,259,125,214
2021-06-01,278,821,258,125,219
2021-07-01,292,822,259,126,219
2021-08-01,291,808,260,125,219
2021-09-01,300,811,262,124,217
2021-10-01,306,830,263,124,220
2021-11-01,312,816,261,126,218
2021-12-01,315,828,257,127,219
2022-01-01,316,832,259,127,214
2022-02-01,313,831,260,126,214
2022-03-01,318,840,257,126,215
2022-04-01,322,833,258,127,217
2022-05-01,321,839,258,125,218
2022-06-01,327,827,260,127,220
2022-07-01,327,839,260,127,220
2022-08-01,327,832,265,125,220
2022-09-01,332,842,267,129,223
2022-10-01,332,850,270,131,226
2022-11-01,337,853,271,133,228
2022-12-01,340,849,272,138,236
2023-01-01,342,857,273,140,244
2023-02-01,343,865,273,142,262
